club,aim_offset,mean_birdie_prob,var_birdie_prob
5 Iron,-20.0,0.16384784628947577,0.001036843565709131
5 Iron,-18.0,0.1650026229520639,0.0006675152274627192
5 Iron,-16.0,0.1651735191543897,0.0010341355947549138
5 Iron,-14.0,0.16770454943180085,0.0009926863365753423
5 Iron,-12.0,0.15888072351614635,0.001035382826971546
5 Iron,-10.0,0.1701079713801543,0.0006448910238845481
5 Iron,-8.0,0.17963608155647914,0.000442788734012933
5 Iron,-6.0,0.1711510683099429,0.0007855835577939998
5 Iron,-4.0,0.16963813056548435,0.0006888976593903334
5 Iron,-2.0,0.1780395490427812,0.00043770652237251514
5 Iron,0.0,0.1783145397901535,0.00030052779492037847
5 Iron,2.0,0.1760695680975914,0.0003609182988533951
5 Iron,4.0,0.18426162302494048,0.0001434594339888485
5 Iron,6.0,0.17892324924468994,0.0005665966642932988
5 Iron,8.0,0.17637238303820293,0.0005299872726215821
5 Iron,10.0,0.17894806762536367,0.00036985918706220817
5 Iron,12.0,0.1828416367371877,0.0003205145924388436
5 Iron,14.0,0.1806696315606435,0.0002185725884469737
5 Iron,16.0,0.18560169835885365,0.00015466052381941627
5 Iron,18.0,0.18037606353561084,0.00030814946849933646
5 Iron,20.0,0.18024211823940278,0.00043013249332910365
5-wood,-20.0,0.14280054494738578,0.0005975240791776106
5-wood,-18.0,0.1440208132068316,0.0006615126139067686
5-wood,-16.0,0.14827199826637905,0.00043697642294016786
5-wood,-14.0,0.14914130295316377,0.0006602759916176505
5-wood,-12.0,0.14312919676303865,0.000732947506151677
5-wood,-10.0,0.13949551433324814,0.0008410931113794355
5-wood,-8.0,0.13721417188644408,0.0011077472019475937
5-wood,-6.0,0.14438088287909825,0.000641137516174835
5-wood,-4.0,0.14616461346546808,0.0007973271758505424
5-wood,-2.0,0.143725423514843,0.0008072055847739528
5-wood,0.0,0.13908346643050512,0.000980147475653547
5-wood,2.0,0.14209572225809097,0.0007492171656329316
5-wood,4.0,0.13737671077251434,0.0006630473356927199
5-wood,6.0,0.1422231818238894,0.0006411365402825879
5-wood,8.0,0.14218280961116156,0.0008502450294177375
5-wood,10.0,0.1418354610602061,0.000643216134288021
5-wood,12.0,0.12810536473989487,0.0009699355836076914
5-wood,14.0,0.1451534241437912,0.0009020038084925998
5-wood,16.0,0.14496807356675465,0.0009326386153723674
5-wood,18.0,0.1360670655965805,0.0005802901005931787
5-wood,20.0,0.1432841330766678,0.001062914668913404
50 deg,-20.0,0.008268766105175018,0.0001348016413467564
50 deg,-18.0,0.0113023209075133,0.00011260465332539175
50 deg,-16.0,0.012969597925742466,0.00014505053564461403
50 deg,-14.0,0.015132257342338562,0.00019672151039919076
50 deg,-12.0,0.014251064757506053,0.00012326234844763447
50 deg,-10.0,0.011634708692630133,0.0001282673232412419
50 deg,-8.0,0.012176904827356339,0.00011246994515999772
50 deg,-6.0,0.0166574202477932,0.00018615620488719771
50 deg,-4.0,0.01565269331137339,0.00013875845705037688
50 deg,-2.0,0.016001022358735403,0.00014358230683951716
50 deg,0.0,0.01942220504085223,0.00022841188338243508
50 deg,2.0,0.019112578531106313,0.00017267697283809182
50 deg,4.0,0.02048618495464325,0.00030724269672905016
50 deg,6.0,0.014179298281669616,9.592041362149528e-05
50 deg,8.0,0.021787445495525994,0.00025722154974275015
50 deg,10.0,0.02053134242693583,0.00015255032916326546
50 deg,12.0,0.025926102697849274,0.00014584815392919783
50 deg,14.0,0.022296117246150972,0.00016244716041909324
50 deg,16.0,0.025554158041874567,0.00022051719033859638
50 deg,18.0,0.031827627867460254,0.00020358679414234955
50 deg,20.0,0.026765437424182893,0.0003233821289778427
54 deg,-20.0,0.0011562272906303407,2.8706147992683113e-05
54 deg,-18.0,-0.00020498434702555338,7.714258094299907e-06
54 deg,-16.0,-0.00018380482991536457,7.945517975944425e-06
54 deg,-14.0,-0.00023598074913024902,8.393745004691885e-06
54 deg,-12.0,-3.254512945810954e-05,6.437099236799148e-06
54 deg,-10.0,-0.0005149324735005697,7.641976203897922e-06
54 deg,-8.0,0.00032520939906438193,1.1749857586550575e-05
54 deg,-6.0,0.000923586388429006,1.89084925874118e-05
54 deg,-4.0,0.0001281385620435079,8.637816252838634e-06
54 deg,-2.0,0.0001580918828646342,9.720124322402225e-06
54 deg,0.0,0.0016680906216303508,1.4462458092865148e-05
54 deg,2.0,0.00026325583457946776,1.755988270252473e-05
54 deg,4.0,0.0016635442773501078,1.3316880642132558e-05
54 deg,6.0,0.0023255452513694765,3.640868602068582e-05
54 deg,8.0,0.0024649714430173236,2.0343914493676543e-05
54 deg,10.0,0.0016096274058024088,3.06684375384789e-05
54 deg,12.0,0.004140531023343404,3.289480113885092e-05
54 deg,14.0,0.003126444419225057,2.8006052840334504e-05
54 deg,16.0,0.004401119550069174,3.8826442326241265e-05
54 deg,18.0,0.003977097570896149,3.950515155346131e-05
54 deg,20.0,0.006233794987201691,5.4269096692340175e-05
6 Iron,-20.0,0.14654123038053513,0.001852083771908586
6 Iron,-18.0,0.14388701617717742,0.0015019621985508456
