x,y,N,tolerance,club_agreement,aim_agreement,median_aim,n_seeds
-40.0,145.34857976253377,200,2,1.0,0.84,-18.0,100
-40.0,145.34857976253377,200,3,1.0,0.84,-18.0,100
-40.0,145.34857976253377,250,1,1.0,0.51,-20.0,100
-40.0,145.34857976253377,250,2,1.0,0.78,-20.0,100
-40.0,145.34857976253377,250,3,1.0,0.78,-20.0,100
-40.0,145.34857976253377,300,1,1.0,0.3,-18.0,100
-40.0,145.34857976253377,300,2,1.0,0.9,-18.0,100
-40.0,145.34857976253377,300,3,1.0,0.9,-18.0,100
-40.0,154.01663246821866,10,1,0.92,0.13,-12.0,100
-40.0,154.01663246821866,10,2,0.92,0.32,-12.0,100
-40.0,154.01663246821866,10,3,0.92,0.32,-12.0,100
-40.0,154.01663246821866,20,1,0.99,0.11,-16.0,100
-40.0,154.01663246821866,20,2,0.99,0.37,-16.0,100
-40.0,154.01663246821866,20,3,0.99,0.37,-16.0,100
-40.0,154.01663246821866,30,1,0.99,0.11,-16.0,100
-40.0,154.01663246821866,30,2,0.99,0.48,-16.0,100
-40.0,154.01663246821866,30,3,0.99,0.48,-16.0,100
-40.0,154.01663246821866,50,1,0.99,0.24,-18.0,100
-40.0,154.01663246821866,50,2,0.99,0.65,-18.0,100
-40.0,154.01663246821866,50,3,0.99,0.65,-18.0,100
-40.0,154.01663246821866,100,1,1.0,0.24,-18.0,100
-40.0,154.01663246821866,100,2,1.0,0.67,-18.0,100
-40.0,154.01663246821866,100,3,1.0,0.67,-18.0,100
-40.0,154.01663246821866,150,1,1.0,0.24,-18.0,100
-40.0,154.01663246821866,150,2,1.0,0.77,-18.0,100
-40.0,154.01663246821866,150,3,1.0,0.77,-18.0,100
-40.0,154.01663246821866,200,1,1.0,0.33,-18.0,100
-40.0,154.01663246821866,200,2,1.0,0.84,-18.0,100
-40.0,154.01663246821866,200,3,1.0,0.84,-18.0,100
-40.0,154.01663246821866,250,1,1.0,0.32,-18.0,100
-40.0,154.01663246821866,250,2,1.0,0.9,-18.0,100
-40.0,154.01663246821866,250,3,1.0,0.9,-18.0,100
-40.0,154.01663246821866,300,1,1.0,0.36,-18.0,100
-40.0,154.01663246821866,300,2,1.0,0.95,-18.0,100
-40.0,154.01663246821866,300,3,1.0,0.95,-18.0,100
-40.0,162.68468517390357,10,1,0.79,0.12,-12.0,100
-40.0,162.68468517390357,10,2,0.79,0.31,-12.0,100
-40.0,162.68468517390357,10,3,0.79,0.31,-12.0,100
-40.0,162.68468517390357,20,1,0.85,0.11,-14.0,100
-40.0,162.68468517390357,20,2,0.85,0.42,-14.0,100
-40.0,162.68468517390357,20,3,0.85,0.42,-14.0,100
-40.0,162.68468517390357,30,1,0.81,0.33,-15.0,100
-40.0,162.68468517390357,30,2,0.81,0.33,-15.0,100
-40.0,162.68468517390357,30,3,0.81,0.6,-15.0,100
-40.0,162.68468517390357,50,1,0.79,0.17,-16.0,100
-40.0,162.68468517390357,50,2,0.79,0.47,-16.0,100
-40.0,162.68468517390357,50,3,0.79,0.47,-16.0,100
-40.0,162.68468517390357,100,1,0.85,0.19,-16.0,100
-40.0,162.68468517390357,100,2,0.85,0.46,-16.0,100
-40.0,162.68468517390357,100,3,0.85,0.46,-16.0,100
-40.0,162.68468517390357,150,1,0.92,0.22,-18.0,100
-40.0,162.68468517390357,150,2,0.92,0.7,-18.0,100
-40.0,162.68468517390357,150,3,0.92,0.7,-18.0,100
-40.0,162.68468517390357,200,1,0.95,0.27,-18.0,100
-40.0,162.68468517390357,200,2,0.95,0.76,-18.0,100
-40.0,162.68468517390357,200,3,0.95,0.76,-18.0,100
-40.0,162.68468517390357,250,1,0.94,0.23,-18.0,100
-40.0,162.68468517390357,250,2,0.94,0.8,-18.0,100
-40.0,162.68468517390357,250,3,0.94,0.8,-18.0,100
-40.0,162.68468517390357,300,1,0.94,0.27,-18.0,100
-40.0,162.68468517390357,300,2,0.94,0.77,-18.0,100
-40.0,162.68468517390357,300,3,0.94,0.77,-18.0,100
-40.0,171.35273787958843,10,1,0.86,0.1,-10.0,100
-40.0,171.35273787958843,10,2,0.86,0.3,-10.0,100
-40.0,171.35273787958843,10,3,0.86,0.3,-10.0,100
-40.0,171.35273787958843,20,1,0.87,0.08,-10.0,100
-40.0,171.35273787958843,20,2,0.87,0.29,-10.0,100
-40.0,171.35273787958843,20,3,0.87,0.29,-10.0,100
-40.0,171.35273787958843,30,1,0.88,0.09,-12.0,100
-40.0,171.35273787958843,30,2,0.88,0.35,-12.0,100
-40.0,171.35273787958843,30,3,0.88,0.35,-12.0,100
-40.0,171.35273787958843,50,1,0.89,0.09,-12.0,100
-40.0,171.35273787958843,50,2,0.89,0.33,-12.0,100
