seed,N_from,N_to,N,tolerance,match_rate
21,50,100,100,3,58.57142857142858
21,100,150,150,1,63.57142857142857
21,100,150,150,2,75.35714285714286
21,100,150,150,3,75.35714285714286
21,150,200,200,1,67.5
21,150,200,200,2,78.57142857142857
21,150,200,200,3,78.57142857142857
21,200,250,250,1,68.92857142857143
21,200,250,250,2,81.78571428571428
21,200,250,250,3,81.78571428571428
21,250,300,300,1,78.21428571428571
21,250,300,300,2,87.85714285714286
21,250,300,300,3,87.85714285714286
22,10,20,20,1,36.07142857142857
22,10,20,20,2,45.357142857142854
22,10,20,20,3,45.357142857142854
22,20,30,30,1,56.07142857142857
22,20,30,30,2,64.28571428571429
22,20,30,30,3,64.28571428571429
22,30,50,50,1,50.357142857142854
22,30,50,50,2,60.71428571428571
22,30,50,50,3,60.71428571428571
22,50,100,100,1,46.07142857142857
22,50,100,100,2,60.357142857142854
22,50,100,100,3,60.357142857142854
22,100,150,150,1,58.92857142857143
22,100,150,150,2,71.07142857142857
22,100,150,150,3,71.07142857142857
22,150,200,200,1,67.5
22,150,200,200,2,76.78571428571429
22,150,200,200,3,76.78571428571429
22,200,250,250,1,71.78571428571429
22,200,250,250,2,82.85714285714286
22,200,250,250,3,82.85714285714286
22,250,300,300,1,70.0
22,250,300,300,2,80.71428571428572
22,250,300,300,3,80.71428571428572
23,10,20,20,1,35.35714285714286
23,10,20,20,2,49.28571428571429
23,10,20,20,3,49.28571428571429
23,20,30,30,1,51.42857142857142
23,20,30,30,2,62.5
23,20,30,30,3,62.5
23,30,50,50,1,48.214285714285715
23,30,50,50,2,58.92857142857143
23,30,50,50,3,58.92857142857143
23,50,100,100,1,41.785714285714285
23,50,100,100,2,57.49999999999999
23,50,100,100,3,57.49999999999999
23,100,150,150,1,61.42857142857143
23,100,150,150,2,72.14285714285714
23,100,150,150,3,72.14285714285714
23,150,200,200,1,72.5
23,150,200,200,2,81.07142857142857
23,150,200,200,3,81.07142857142857
23,200,250,250,1,68.57142857142857
23,200,250,250,2,81.07142857142857
23,200,250,250,3,81.07142857142857
23,250,300,300,1,71.78571428571429
23,250,300,300,2,79.64285714285714
