x,y,N,club_1,aim_1,esho_1,se_1,freq_1,club_2,aim_2,esho_2,freq_2,delta_esho,functionally_equivalent
48.888888888888886,145.34857976253377,100,3-wood,-20,4.001099136140612,0.056635179611108144,54,3-wood,-18,4.0010750110332785,26,2.412510733318385e-05,True
48.888888888888886,145.34857976253377,150,3-wood,-20,4.006206330606493,0.04628538306101865,59,3-wood,-18,4.021000633239746,25,0.014794302633252876,True
48.888888888888886,145.34857976253377,200,3-wood,-20,4.016197804142447,0.040597892351547996,68,3-wood,-18,4.025920457310146,18,0.009722653167699491,True
48.888888888888886,145.34857976253377,250,3-wood,-20,4.016860550397063,0.03627771883224298,73,3-wood,-18,4.025430573357476,18,0.00857002296041287,True
48.888888888888886,145.34857976253377,300,3-wood,-20,4.0193405763523,0.03326922986989755,74,3-wood,-18,4.027418571359971,17,0.008077995007671035,True
48.888888888888886,154.01663246821866,10,3-wood,-20,3.6232798660502716,0.15504332280638727,17,3-wood,-16,3.647770115307399,14,0.024490249257127505,True
48.888888888888886,154.01663246821866,20,3-wood,-18,3.746096381434688,0.11766575644110351,27,3-wood,-20,3.7245134873823686,22,0.02158289405231928,True
48.888888888888886,154.01663246821866,30,3-wood,-18,3.7718205716874866,0.10214993364315261,27,3-wood,-20,3.7695502909747036,22,0.0022702807127830127,True
48.888888888888886,154.01663246821866,50,3-wood,-20,3.7997476914349724,0.07700052225517372,34,3-wood,-18,3.8074897994165835,23,0.007742107981611124,True
48.888888888888886,154.01663246821866,100,3-wood,-20,3.8171194764070733,0.05566180438998703,43,3-wood,-18,3.8232693672180176,33,0.006149890810944303,True
48.888888888888886,154.01663246821866,150,3-wood,-20,3.821720255745782,0.046181608867663475,54,3-wood,-18,3.8363402218654237,29,0.01461996611964178,True
48.888888888888886,154.01663246821866,200,3-wood,-20,3.8266073096882214,0.039957835084561466,55,3-wood,-18,3.843109232006651,33,0.016501922318429507,True
48.888888888888886,154.01663246821866,250,3-wood,-20,3.834037903816469,0.03579336262015685,62,3-wood,-18,3.843586895200941,27,0.009548991384471961,True
48.888888888888886,154.01663246821866,300,3-wood,-20,3.8402918461830384,0.03276808917552294,62,3-wood,-18,3.84195456833675,29,0.0016627221537115489,True
48.888888888888886,162.68468517390357,10,Hybrid,-4,3.041226029396057,0.15810167147671753,14,Hybrid,-8,2.997491104262216,14,0.04373492513384125,True
48.888888888888886,162.68468517390357,20,Hybrid,-8,3.0778602724489956,0.10685758663190838,23,Hybrid,-6,3.072652690112591,16,0.005207582336404837,True
48.888888888888886,162.68468517390357,30,Hybrid,-8,3.1195067514975867,0.08376947404681565,24,Hybrid,-6,3.1148543298244475,20,0.004652421673139173,True
48.888888888888886,162.68468517390357,50,Hybrid,-6,3.1616332795884876,0.06976970221016851,27,Hybrid,-8,3.14878595442999,21,0.012847325158497735,True
48.888888888888886,162.68468517390357,100,Hybrid,-4,3.1773043819095776,0.04958396542977486,23,Hybrid,-8,3.180928995734767,19,0.0036246138251891935,True
48.888888888888886,162.68468517390357,150,Hybrid,-6,3.2061493968963624,0.04100855632603267,25,Hybrid,-4,3.193869471549988,24,0.012279925346374565,True
48.888888888888886,162.68468517390357,200,Hybrid,-8,3.2084881519449167,0.033606916805448875,29,Hybrid,-6,3.215563388971182,26,0.007075237026265224,True
48.888888888888886,162.68468517390357,250,Hybrid,-6,3.2129837019102916,0.03150821321538061,28,Hybrid,-8,3.2113601101769342,27,0.0016235917333573546,True
48.888888888888886,162.68468517390357,300,Hybrid,-6,3.2147555680110536,0.028793776399045602,29,Hybrid,-8,3.220428567666274,26,0.005672999655220501,True
48.888888888888886,171.35273787958843,10,Hybrid,0,3.1156234741210938,0.10727135342904479,6,Hybrid,-8,3.10295836130778,6,0.01266511281331395,True
48.888888888888886,171.35273787958843,20,Hybrid,-8,3.164851665496826,0.07358950195962824,11,Hybrid,0,3.18141930103302,10,0.01656763553619367,True
48.888888888888886,171.35273787958843,30,Hybrid,-6,3.1824658632278444,0.06139836935381025,10,Hybrid,0,3.200608491897583,10,0.018142628669738592,True
48.888888888888886,171.35273787958843,50,Hybrid,-6,3.21648177078792,0.04773986436106308,14,Hybrid,0,3.2102660139401755,12,0.006215756847744558,True
48.888888888888886,171.35273787958843,100,Hybrid,-6,3.243223261833191,0.03268488066957132,20,Hybrid,-2,3.2374453809526234,18,0.005777880880567743,True
48.888888888888886,171.35273787958843,150,Hybrid,-6,3.247874517440796,0.026190371491741037,25,Hybrid,-2,3.2487718126048213,23,0.000897295164025369,True
48.888888888888886,171.35273787958843,200,Hybrid,-4,3.2485936284065247,0.023485678048309908,28,Hybrid,-2,3.2502048710982003,24,0.001611242691675674,True
48.888888888888886,171.35273787958843,250,Hybrid,-4,3.2502034505208335,0.021317899952119006,30,Hybrid,-6,3.2568571214322692,27,0.006653670911435761,True
48.888888888888886,171.35273787958843,300,Hybrid,-4,3.255495564142863,0.01945636226982339,30,Hybrid,-6,3.253962618964059,28,0.0015329451788037574,True
48.888888888888886,180.02079058527332,10,5 Iron,-2,3.077613745416914,0.12076942591122572,14,5 Iron,-6,3.103040326725353,11,0.02542658130843911,True
48.888888888888886,180.02079058527332,20,5 Iron,-8,3.170100748538971,0.08912866946234628,16,5 Iron,-6,3.1636708259582518,15,0.006429922580719172,True
48.888888888888886,180.02079058527332,30,5 Iron,-2,3.195747697353363,0.07052228784305506,20,5 Iron,-8,3.187725199593438,18,0.008022497759924807,True
48.888888888888886,180.02079058527332,50,5 Iron,-2,3.2248091881091776,0.05588432973492525,26,5 Iron,-4,3.236645738283793,18,0.011836550174615379,True
48.888888888888886,180.02079058527332,100,5 Iron,-4,3.2518896952919336,0.039899614891028654,23,5 Iron,-2,3.2421721686487612,23,0.00971752664317238,True
48.888888888888886,180.02079058527332,150,5 Iron,-2,3.263643774492987,0.03267684003981131,29,5 Iron,-4,3.2537556529045104,20,0.00988812158847674,True
48.888888888888886,180.02079058527332,200,5 Iron,-4,3.26678177162453,0.02775002432544636,27,5 Iron,-2,3.2699381828308107,25,0.0031564112062807403,True
48.888888888888886,180.02079058527332,250,5 Iron,-2,3.2763577738115863,0.025269459878676535,31,5 Iron,-4,3.27247875312279,29,0.0038790206887964196,True
48.888888888888886,180.02079058527332,300,5 Iron,-2,3.281147048280046,0.02289728717288391,37,5 Iron,-4,3.2736667615396007,27,0.007480286740445319,True
48.888888888888886,188.6888432909582,10,6 Iron,-6,4.073588707867791,0.15614111584593038,17,6 Iron,-2,4.137003262837728,12,0.06341455496993653,True
48.888888888888886,188.6888432909582,20,6 Iron,-6,4.123939682455624,0.10876127950420059,17,6 Iron,-12,4.195689606666565,10,0.07174992421094117,True
48.888888888888886,188.6888432909582,30,6 Iron,-6,4.19276826005233,0.09406650610944725,19,6 Iron,-10,4.220861434936523,13,0.028093174884193495,True
48.888888888888886,188.6888432909582,50,6 Iron,-6,4.2322845913115,0.07417733903880443,21,6 Iron,0,4.247967158045087,14,0.015682566733587144,True
48.888888888888886,188.6888432909582,100,6 Iron,-4,4.27092813310169,0.04920751482347926,21,6 Iron,-6,4.278137786047799,14,0.007209652946109202,True
48.888888888888886,188.6888432909582,150,6 Iron,-4,4.2845562588084825,0.041621421321321225,22,6 Iron,-6,4.283951759338379,15,0.0006044994701035478,True
48.888888888888886,188.6888432909582,200,6 Iron,-6,4.287979805469513,0.03440261122044177,20,6 Iron,-4,4.295241556669536,19,0.007261751200022815,True
