x,y,N,club_agreement,aim_agreement,joint_agreement,n_seeds
-6.666666666666671,154.01663246821866,20,0.92,0.16,0.16,100
-6.666666666666671,162.68468517390357,20,0.65,0.25,0.16,100
-6.666666666666671,171.35273787958843,20,0.84,0.21,0.16,100
-6.666666666666671,180.02079058527332,20,0.78,0.2,0.16,100
-6.666666666666671,188.6888432909582,20,0.99,0.24,0.24,100
-6.666666666666671,197.3568959966431,20,0.77,0.16,0.12,100
-6.666666666666671,206.024948702328,20,0.95,0.17,0.17,100
-6.666666666666671,214.6930014080129,20,0.91,0.23,0.23,100
-6.666666666666671,223.36105411369775,20,0.69,0.25,0.18,100
-6.666666666666671,232.02910681938263,20,0.45,0.19,0.1,100
-6.666666666666671,240.69715952506752,20,0.87,0.24,0.21,100
-6.666666666666671,249.3652122307524,20,0.93,0.29,0.29,100
-6.666666666666671,258.0332649364373,20,0.8,0.38,0.25,100
-6.666666666666671,266.7013176421222,20,0.99,0.35,0.35,100
-6.666666666666671,275.3693703478071,20,0.92,0.5,0.47,100
-6.666666666666671,284.037423053492,20,1.0,0.44,0.44,100
4.444444444444443,50.0,20,0.85,0.21,0.16,100
4.444444444444443,58.668052705684886,20,0.84,0.22,0.2,100
4.444444444444443,67.33610541136977,20,0.5,0.19,0.09,100
4.444444444444443,76.00415811705466,20,0.9,0.15,0.14,100
4.444444444444443,84.67221082273954,20,0.76,0.2,0.16,100
4.444444444444443,93.34026352842444,20,0.52,0.15,0.1,100
4.444444444444443,102.00831623410932,20,0.83,0.13,0.13,100
4.444444444444443,110.67636893979422,20,0.74,0.16,0.16,100
4.444444444444443,119.3444216454791,20,0.78,0.21,0.18,100
4.444444444444443,128.01247435116397,20,0.7,0.13,0.11,100
4.444444444444443,136.68052705684886,20,1.0,0.16,0.16,100
4.444444444444443,145.34857976253377,20,0.68,0.15,0.11,100
4.444444444444443,154.01663246821866,20,0.91,0.17,0.16,100
4.444444444444443,162.68468517390357,20,0.74,0.24,0.18,100
4.444444444444443,171.35273787958843,20,0.89,0.16,0.14,100
4.444444444444443,180.02079058527332,20,0.82,0.14,0.11,100
4.444444444444443,188.6888432909582,20,0.97,0.21,0.21,100
4.444444444444443,197.3568959966431,20,0.66,0.18,0.18,100
4.444444444444443,206.024948702328,20,0.6,0.17,0.16,100
4.444444444444443,214.6930014080129,20,1.0,0.28,0.28,100
4.444444444444443,223.36105411369775,20,0.51,0.22,0.14,100
4.444444444444443,232.02910681938263,20,0.37,0.16,0.11,100
4.444444444444443,240.69715952506752,20,0.77,0.27,0.22,100
4.444444444444443,249.3652122307524,20,0.98,0.32,0.31,100
4.444444444444443,258.0332649364373,20,1.0,0.32,0.32,100
4.444444444444443,266.7013176421222,20,1.0,0.42,0.42,100
4.444444444444443,275.3693703478071,20,1.0,0.44,0.44,100
4.444444444444443,284.037423053492,20,1.0,0.35,0.35,100
15.555555555555555,50.0,20,0.76,0.16,0.13,100
15.555555555555555,58.668052705684886,20,0.92,0.15,0.14,100
15.555555555555555,67.33610541136977,20,0.66,0.22,0.14,100
15.555555555555555,76.00415811705466,20,0.89,0.16,0.14,100
15.555555555555555,84.67221082273954,20,0.74,0.15,0.13,100
15.555555555555555,93.34026352842444,20,0.5,0.14,0.08,100
15.555555555555555,102.00831623410932,20,0.66,0.13,0.13,100
15.555555555555555,110.67636893979422,20,0.61,0.21,0.17,100
15.555555555555555,119.3444216454791,20,0.82,0.26,0.23,100
15.555555555555555,128.01247435116397,20,0.68,0.16,0.16,100
15.555555555555555,136.68052705684886,20,1.0,0.15,0.15,100
15.555555555555555,145.34857976253377,20,0.68,0.17,0.15,100
15.555555555555555,154.01663246821866,20,0.87,0.17,0.15,100
15.555555555555555,162.68468517390357,20,0.74,0.15,0.13,100
15.555555555555555,171.35273787958843,20,0.84,0.16,0.14,100
15.555555555555555,180.02079058527332,20,0.82,0.18,0.17,100
15.555555555555555,188.6888432909582,20,0.96,0.23,0.23,100
15.555555555555555,197.3568959966431,20,0.92,0.16,0.15,100
