club,aim_yards,mean_expected_strokes,birdie_rate,bogey_plus_avoidance,double_plus_avoidance,all_strokes
3-wood,-3,2.69362479463019,0.95,1.0,1.0,"[array(2.7879077), 2.5011481027428304, array(2.57299576), array(2.72719146), array(2.78235562), array(2.66856622), array(3.02603167), array(2.80674281), array(2.75622441), 2.624954988809573, array(2.85758735), array(2.74789474), array(2.63449287), array(2.67869422), array(2.58735482), array(2.47483315), array(2.68986541), 2.4441023831599114, array(2.80533677), array(2.69821545)]"
3-wood,-2,2.6983541860985847,1.0,1.0,1.0,"[array(2.8085709), array(2.74378162), array(2.64978574), array(2.68158563), array(2.70224606), array(2.94642513), 2.6130462125315623, array(2.6788263), array(2.81346557), array(2.78928742), array(2.83612724), array(2.65363556), array(2.76353196), 2.069838321495007, array(2.82572488), 2.533421386725316, array(2.8815819), array(2.64796234), array(2.63521462), array(2.69302493)]"
3-wood,-1,2.6743890158770514,1.0,1.0,1.0,"[2.4096593311283776, array(2.75075363), array(2.69474096), array(2.77330969), array(2.70471487), array(2.71305831), array(2.66499732), array(2.78111097), array(2.7333333), array(2.55941207), array(2.48927275), 2.5433305870859595, array(2.9368047), 2.6169590146274833, array(2.64471107), array(2.65830767), array(2.85854859), array(2.57155514), array(2.72609896), array(2.65710139)]"
3-wood,0,2.641677925014304,0.95,1.0,1.0,"[array(2.87909001), array(2.81054832), array(2.60402312), 2.4262357537919286, array(2.58365428), 2.1491419274850285, array(2.58499854), array(2.72818372), array(2.78644683), 2.3033960865499314, array(2.66648791), array(2.70893543), array(2.93958907), array(2.76428023), array(2.70649976), array(2.67583569), array(2.80497478), array(3.04180007), 2.241482819315431, 2.42795414840295]"
3-wood,1,2.6563998537714877,1.0,1.0,1.0,"[2.3884400287882275, array(2.54440016), array(2.74761674), array(2.76063387), array(2.73707131), 2.4552679810173617, array(2.72602837), array(2.75029702), array(2.54172833), array(2.89096666), 2.4818582856913003, array(2.79255593), array(2.49398927), 2.456369235135412, array(2.7149302), array(2.93083857), array(2.82490178), array(2.74462079), 2.523943624062184, array(2.62153891)]"
3-wood,2,2.680396087140914,0.95,1.0,1.0,"[array(2.44849285), array(2.90052743), array(2.64979296), array(2.80854057), array(2.89903774), array(2.7177116), array(2.72522249), array(2.60301597), array(2.67173819), array(2.79335086), array(2.91364425), array(2.6646177), array(2.65135767), array(2.83101459), 2.50842794636696, 2.5069825389233986, 1.748250438917262, array(3.01483709), array(2.90027048), array(2.65108836)]"
3-wood,3,2.705343963147082,0.95,1.0,1.0,"[array(2.76118162), array(2.48380014), 2.3110702812240156, 2.527459762520005, array(2.92306837), array(2.49231297), array(2.67303248), array(3.16623235), array(2.77225807), array(2.74318629), array(2.72041136), array(2.70431346), 2.381649779600555, array(2.86573923), array(2.71194934), array(2.83341121), array(2.59517876), array(2.98450054), array(2.78346223), array(2.67266101)]"
3-wood,4,2.615586880082988,1.0,1.0,1.0,"[2.4841198521120593, 2.3197526762775826, array(2.63176251), array(2.68136221), array(2.75707138), array(2.64411432), 2.4405824344078604, array(2.6906481), array(2.66173181), array(2.70876927), 2.5204841900045367, array(2.68991771), array(2.61253013), 2.1535106117148537, array(2.87212349), array(2.61759389), array(2.62361821), array(2.8519338), array(2.61141758), array(2.73869344)]"
3-wood,5,2.743901222197003,1.0,1.0,1.0,"[array(2.90801239), array(2.7657417), array(2.99135382), array(2.68087328), 2.5610512073608613, array(2.84075545), array(2.62256986), array(2.7242302), array(2.74056649), array(2.94651129), array(2.62358217), 2.450415645580157, array(2.8525786), array(2.62967554), array(2.70120706), array(2.80240137), array(2.96314984), array(2.59992452), array(2.77674826), array(2.69667576)]"
3-wood,6,2.705982974745944,0.95,1.0,1.0,"[array(3.01223236), array(2.55657337), array(2.69354268), 2.5466374019098685, array(2.57891727), array(2.85641207), array(2.60527496), array(2.81797028), array(2.99149459), array(2.961244), array(2.76094467), array(2.57083716), array(2.86797549), array(2.99431891), array(2.60340368), 2.4731709142640197, array(2.73361107), array(2.64509429), 2.412694791898426, array(2.43730953)]"
